Time,Load (kW),Pressure_kpa,Cloud Cover (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
2017-03-18 00:00:00,1031471.62805707,1011,3,14,307,2
2017-03-18 01:00:00,1007205.57843707,1011,4,14,215,2
2017-03-18 02:00:00,986108.40071707,1011,4,14,123,1
2017-03-18 03:00:00,970760.96691707,1011,4,14,31,1
2017-03-18 04:00:00,962258.36501707,1011,4,14,138,1
2017-03-18 05:00:00,963847.92895707,1012,5,16,245,2
2017-03-18 06:00:00,971662.22283707,1012,5,16,352,2
2017-03-18 07:00:00,998667.46427707,1013,5,18,320,3
2017-03-18 08:00:00,1060601.55717707,1013,5,18,288,3
2017-03-18 09:00:00,1141662.50979707,1013,4,20,256,4
2017-03-18 10:00:00,1195234.88093707,1012,4,20,263,7
2017-03-18 11:00:00,1208175.00293707,1011,4,20,271,10
2017-03-18 12:00:00,1216409.31893707,1011,4,20,278,13
2017-03-18 13:00:00,1211771.52893707,1010,5,20,280,11
2017-03-18 14:00:00,1216184.22893707,1010,5,20,283,10
2017-03-18 15:00:00,1210429.86693707,1010,5,18,285,9
2017-03-18 16:00:00,1200877.59753707,1010,5,18,284,9
2017-03-18 17:00:00,1169031.23787707,1010,5,16,283,8
2017-03-18 18:00:00,1150271.29025707,1011,5,14,283,8
2017-03-18 19:00:00,1126710.73273707,1011,6,14,288,8
2017-03-18 20:00:00,1109004.81507707,1011,6,14,293,7
2017-03-18 21:00:00,1095988.83535707,1012,7,12,298,7
2017-03-18 22:00:00,1075547.20365707,1011,7,12,317,6
2017-03-18 23:00:00,1049039.52593707,1011,7,12,335,5
2017-03-19 00:00:00,1021744.29423707,1010,7,12,354,4
2017-03-19 01:00:00,999585.88257707,1011,7,12,250,3
2017-03-19 02:00:00,977538.64483707,1011,6,10,147,3
2017-03-19 03:00:00,966271.96903707,1011,6,10,44,3
2017-03-19 04:00:00,957773.50111707,1011,6,12,36,3
2017-03-19 05:00:00,956473.46911707,1012,5,14,28,3
2017-03-19 06:00:00,941449.47333707,1012,5,16,20,4
2017-03-19 07:00:00,935907.80933707,1012,5,18,109,5
2017-03-19 08:00:00,960497.56691707,1012,5,22,198,6
2017-03-19 09:00:00,987858.20059707,1012,5,24,287,7
2017-03-19 10:00:00,1012382.68833707,1011,5,24,286,11
2017-03-19 11:00:00,1029778.86405707,1010,5,24,284,14
2017-03-19 12:00:00,1034794.90201707,1010,4,24,282,17
2017-03-19 13:00:00,1026072.75617707,1009,5,24,285,15
2017-03-19 14:00:00,1026203.91615707,1009,5,22,288,14
2017-03-19 15:00:00,1025117.76215707,1009,5,22,291,12
2017-03-19 16:00:00,1019965.67025707,1009,5,20,283,10
2017-03-19 17:00:00,1014069.37229707,1010,4,16,275,9
2017-03-19 18:00:00,1016996.68025707,1010,3,14,268,8
2017-03-19 19:00:00,1032056.24211707,1010,2,14,256,7
2017-03-19 20:00:00,1032000.93605707,1011,1,14,245,7
2017-03-19 21:00:00,1025865.78619707,1011,0,12,234,6
2017-03-19 22:00:00,1016097.46435707,1011,0,12,254,6
2017-03-19 23:00:00,1005315.68855707,1010,0,12,274,7
2017-03-20 00:00:00,987190.01881707,1010,0,12,295,7
2017-03-20 01:00:00,967204.13105707,1010,0,10,202,6
2017-03-20 02:00:00,950232.04531707,1010,0,10,109,5
2017-03-20 03:00:00,940618.20343707,1010,0,10,17,5
2017-03-20 04:00:00,938838.09147707,1011,0,12,23,5
2017-03-20 05:00:00,945081.54535707,1011,0,14,30,5
2017-03-20 06:00:00,973593.41493707,1012,0,16,37,5
2017-03-20 07:00:00,1039951.76369707,1012,0,18,120,5
2017-03-20 08:00:00,1155230.23375707,1012,0,22,203,5
2017-03-20 09:00:00,1275774.73773707,1012,0,24,287,5
2017-03-20 10:00:00,1333642.53313707,1011,0,24,280,9
2017-03-20 11:00:00,1344260.48533707,1011,0,24,274,13
2017-03-20 12:00:00,1337270.30533707,1010,0,26,267,17
2017-03-20 13:00:00,1321022.66533707,1010,0,24,261,15
2017-03-20 14:00:00,1325809.01333707,1010,0,22,255,13
2017-03-20 15:00:00,1322490.78733707,1010,0,20,248,11
2017-03-20 16:00:00,1321726.56533707,1010,0,18,245,10
2017-03-20 17:00:00,1289828.91413707,1011,0,16,242,8
2017-03-20 18:00:00,1238524.57873707,1011,0,14,239,6
2017-03-20 19:00:00,1194435.46759707,1011,0,14,229,7
2017-03-20 20:00:00,1151563.63249707,1011,0,14,219,7
2017-03-20 21:00:00,1116035.55501707,1012,0,12,209,7
2017-03-20 22:00:00,1091370.07551707,1011,0,12,216,6
2017-03-20 23:00:00,1061752.06595707,1011,0,12,223,5
2017-03-21 00:00:00,1032739.17037707,1011,0,12,231,5
2017-03-21 01:00:00,1003462.01681707,1011,1,10,202,4
2017-03-21 02:00:00,986411.58103707,1011,2,10,173,3
2017-03-21 03:00:00,975442.36921707,1011,4,10,144,2
2017-03-21 04:00:00,971071.48139707,1011,2,12,143,2
2017-03-21 05:00:00,973178.17933707,1012,1,14,141,3
2017-03-21 06:00:00,990731.26097707,1012,0,16,140,3
2017-03-21 07:00:00,1044374.83405707,1012,0,18,176,4
2017-03-21 08:00:00,1148047.44431707,1012,0,20,212,6
2017-03-21 09:00:00,1249571.11653707,1012,0,24,248,8
2017-03-21 10:00:00,1306543.89813707,1012,0,24,251,11
2017-03-21 11:00:00,1322956.70213707,1011,0,24,254,15
2017-03-21 12:00:00,1324423.41953707,1010,0,24,257,18
2017-03-21 13:00:00,1315972.68413707,1010,0,22,254,16
2017-03-21 14:00:00,1322229.60393707,1010,0,22,251,15
2017-03-21 15:00:00,1318455.26413707,1010,0,20,248,13
2017-03-21 16:00:00,1309046.66813707,1011,0,18,243,12
2017-03-21 17:00:00,1281501.15433707,1011,0,16,239,11
2017-03-21 18:00:00,1235780.99533707,1012,0,14,235,10
2017-03-21 19:00:00,1194239.05407707,1012,32,14,226,8
2017-03-21 20:00:00,1150312.30669707,1012,63,14,216,7
2017-03-21 21:00:00,1119503.79729707,1012,95,14,207,5
2017-03-21 22:00:00,1095905.87371707,1012,83,14,201,6
2017-03-21 23:00:00,1063608.05213707,1011,72,14,194,6
2017-03-22 00:00:00,1034120.71057707,1011,61,12,188,7
2017-03-22 01:00:00,1009530.60889707,1011,61,12,178,7
2017-03-22 02:00:00,991893.10113707,1010,61,12,168,7
2017-03-22 03:00:00,982028.02721707,1010,61,12,158,7
2017-03-22 04:00:00,976406.41933707,1011,48,12,161,7
2017-03-22 05:00:00,975886.70125707,1011,34,14,164,7
2017-03-22 06:00:00,989562.01503707,1011,20,14,167,8
2017-03-22 07:00:00,1049173.35791707,1012,14,18,193,8
2017-03-22 08:00:00,1163011.55991707,1012,7,20,219,8
2017-03-22 09:00:00,1271671.52833707,1012,0,22,246,9
2017-03-22 10:00:00,1325304.68133707,1011,0,22,251,12
2017-03-22 11:00:00,1339035.25933707,1010,0,24,257,15
2017-03-22 12:00:00,1346214.57533707,1010,0,24,263,18
2017-03-22 13:00:00,1340341.10733707,1009,0,22,260,16
2017-03-22 14:00:00,1348007.81533707,1009,0,20,257,14
2017-03-22 15:00:00,1320913.71933707,1009,0,20,254,12
2017-03-22 16:00:00,1316589.91733707,1009,0,18,245,11
2017-03-22 17:00:00,1283933.79773707,1010,0,16,235,10
2017-03-22 18:00:00,1240706.30873707,1010,0,14,225,9
2017-03-22 19:00:00,1208599.77573707,1011,22,14,208,9
2017-03-22 20:00:00,1163237.94245707,1011,45,14,192,8
2017-03-22 21:00:00,1130689.79903707,1011,67,12,175,8
2017-03-22 22:00:00,1108793.14943707,1011,67,12,180,9
2017-03-22 23:00:00,1078661.09393707,1010,67,12,185,10
2017-03-23 00:00:00,1046058.61635707,1010,66,12,190,10
2017-03-23 01:00:00,1019645.98267707,1010,68,12,184,10
2017-03-23 02:00:00,1001757.36101707,1010,70,12,179,9
2017-03-23 03:00:00,989690.30515707,1010,72,12,174,9
2017-03-23 04:00:00,978765.45723707,1010,58,12,169,9
2017-03-23 05:00:00,981291.83117707,1010,44,14,164,9
2017-03-23 06:00:00,1003035.89689707,1011,30,14,159,9
2017-03-23 07:00:00,1061943.78983707,1011,20,18,183,9
2017-03-23 08:00:00,1176735.97389707,1011,10,20,208,8
2017-03-23 09:00:00,1283327.52833707,1011,0,22,233,8
2017-03-23 10:00:00,1330669.10133707,1010,0,24,243,12
2017-03-23 11:00:00,1343089.24133707,1010,0,24,252,15
2017-03-23 12:00:00,1350603.04733707,1009,0,24,262,18
2017-03-23 13:00:00,1342173.80133707,1009,0,22,270,16
2017-03-23 14:00:00,1356139.32133707,1009,0,20,279,14
2017-03-23 15:00:00,1350174.66933707,1008,0,20,287,13
2017-03-23 16:00:00,1341647.84333707,1009,0,18,287,11
2017-03-23 17:00:00,1306785.59413707,1010,0,16,288,9
2017-03-23 18:00:00,1250881.60493707,1010,0,14,288,8
2017-03-23 19:00:00,1208115.56173707,1010,0,12,285,6
2017-03-23 20:00:00,1174643.95653707,1011,0,12,281,5
2017-03-23 21:00:00,1144363.87109707,1011,0,12,278,4
2017-03-23 22:00:00,1115131.74157707,1011,0,12,281,4
2017-03-23 23:00:00,1084232.32403707,1010,0,10,284,5
2017-03-24 00:00:00,1054376.28449707,1010,0,10,286,5
2017-03-24 01:00:00,1027063.05285707,1010,25,10,304,5
2017-03-24 02:00:00,1008183.72709707,1010,51,10,322,5
2017-03-24 03:00:00,995523.52925707,1011,76,10,340,5
2017-03-24 04:00:00,987648.43133707,1011,59,10,344,7
2017-03-24 05:00:00,990423.76121707,1012,43,12,347,9
2017-03-24 06:00:00,1006821.66097707,1012,26,14,351,10
2017-03-24 07:00:00,1066259.17189707,1012,17,16,338,10
2017-03-24 08:00:00,1183252.94011707,1012,9,18,325,11
2017-03-24 09:00:00,1285285.07833707,1012,0,22,312,11
2017-03-24 10:00:00,1336330.18553707,1011,0,22,308,14
2017-03-24 11:00:00,1355594.19933707,1011,0,22,303,17
2017-03-24 12:00:00,1354636.08333707,1010,0,24,298,19
2017-03-24 13:00:00,1347522.75733707,1010,0,22,302,18
2017-03-24 14:00:00,1361669.72933707,1010,0,20,306,16
2017-03-24 15:00:00,1350561.16793707,1010,0,20,310,14
2017-03-24 16:00:00,1336593.95013707,1010,0,18,310,13
2017-03-24 17:00:00,1301632.68453707,1010,0,14,311,12
2017-03-24 18:00:00,1252530.73933707,1011,0,12,311,10
2017-03-24 19:00:00,1204006.35613707,1011,0,12,311,10
2017-03-24 20:00:00,1161485.19095707,1011,0,12,311,9
2017-03-24 21:00:00,1133962.44345707,1011,0,10,311,9
2017-03-24 22:00:00,1104562.67791707,1011,0,10,316,9
2017-03-24 23:00:00,1064298.24833707,1011,0,10,322,9
2017-03-25 00:00:00,1031410.21277707,1010,0,8,328,10
2017-03-25 01:00:00,1012118.56503707,1010,0,8,219,10
2017-03-25 02:00:00,994928.07523707,1010,0,8,111,9
2017-03-25 03:00:00,982095.92541707,1010,0,8,2,9
2017-03-25 04:00:00,978078.65555707,1011,0,10,4,10
2017-03-25 05:00:00,976045.86155707,1011,0,10,5,10
2017-03-25 06:00:00,981316.71547707,1012,0,12,6,11
2017-03-25 07:00:00,1005723.20305707,1012,0,16,118,9
2017-03-25 08:00:00,1063293.04019707,1012,0,20,230,8
2017-03-25 09:00:00,1130433.40911707,1012,0,24,342,6
2017-03-25 10:00:00,1178005.15653707,1011,0,24,325,10
2017-03-25 11:00:00,1193739.72653707,1010,0,26,308,14
2017-03-25 12:00:00,1194247.77053707,1009,0,26,292,17
2017-03-25 13:00:00,1189648.08053707,1009,0,24,302,17
2017-03-25 14:00:00,1197709.29653707,1009,0,24,312,17
2017-03-25 15:00:00,1197288.78853707,1008,0,22,321,16
2017-03-25 16:00:00,1188867.02051707,1009,0,20,325,14
2017-03-25 17:00:00,1169657.42065707,1009,0,18,329,13
2017-03-25 18:00:00,1147334.77509707,1010,0,16,333,11
2017-03-25 19:00:00,1134473.15139707,1010,0,16,330,9
2017-03-25 20:00:00,1115481.70967707,1011,0,14,328,8
2017-03-25 21:00:00,1103437.63789707,1011,0,14,326,7
2017-03-25 22:00:00,1092939.76019707,1010,0,14,330,9
2017-03-25 23:00:00,1072920.11241707,1010,0,12,333,10
2017-03-26 00:00:00,1050074.43875707,1010,0,12,337,12
2017-03-26 01:00:00,1027058.52105707,1010,0,12,344,12
2017-03-26 02:00:00,1011024.60927707,1010,0,12,351,12
2017-03-26 03:00:00,998181.03943707,1009,0,10,359,13
2017-03-26 04:00:00,994106.33749707,1010,0,12,242,12
2017-03-26 05:00:00,989417.72149707,1010,0,16,126,12
2017-03-26 06:00:00,980170.87357707,1011,0,18,9,12
2017-03-26 07:00:00,979472.19957707,1011,0,22,113,9
2017-03-26 08:00:00,1000021.09533707,1011,0,26,217,7
2017-03-26 09:00:00,1028975.21689707,1011,0,30,321,5
2017-03-26 10:00:00,1054692.34465707,1010,0,30,311,10
2017-03-26 11:00:00,1071296.96045707,1009,0,30,301,14
2017-03-26 12:00:00,1080229.95837707,1008,0,30,292,18
2017-03-26 13:00:00,1083458.50833707,1008,0,30,300,17
2017-03-26 14:00:00,1091820.59021707,1007,0,28,308,16
2017-03-26 15:00:00,1091522.42021707,1007,0,26,316,15
2017-03-26 16:00:00,1087754.58425707,1007,0,24,320,14
2017-03-26 17:00:00,1047038.87835707,1008,0,22,324,13
2017-03-26 18:00:00,1056974.75031707,1008,0,20,327,12
2017-03-26 19:00:00,1057136.57615707,1009,0,18,219,10
2017-03-26 20:00:00,1049966.48217707,1009,0,18,111,8
2017-03-26 21:00:00,1053597.22627707,1009,0,16,4,6
2017-03-26 22:00:00,1047808.20833707,1009,0,16,109,6
2017-03-26 23:00:00,1033327.26447707,1009,0,16,215,7
2017-03-27 00:00:00,1016170.94673707,1009,0,14,320,7
2017-03-27 01:00:00,994647.31303707,1008,0,14,231,6
2017-03-27 02:00:00,976173.65123707,1008,0,14,142,5
2017-03-27 03:00:00,954407.83331707,1008,0,12,52,3
2017-03-27 04:00:00,948634.85939707,1009,0,16,82,4
2017-03-27 05:00:00,958369.04719707,1010,0,18,113,5
2017-03-27 06:00:00,988560.16081707,1010,0,20,143,6
2017-03-27 07:00:00,1055779.07557707,1010,0,22,186,7
2017-03-27 08:00:00,1178547.59545707,1010,0,26,228,8
2017-03-27 09:00:00,1290303.92753707,1010,0,28,271,10
