Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-12 08:00:00,0,1013,18,63,9
2020-02-12 09:00:00,0,1013,18,67,9
2020-02-12 10:00:00,0,1013,20,92,9
2020-02-12 11:00:00,0,1013,24,118,8
2020-02-12 12:00:00,0,1012,26,144,8
2020-02-12 13:00:00,0,1011,24,198,11
2020-02-12 14:00:00,0,1010,24,251,14
2020-02-12 15:00:00,0,1010,24,305,17
2020-02-12 16:00:00,0,1010,22,311,18
2020-02-12 17:00:00,0,1010,20,317,18
2020-02-12 18:00:00,0,1010,18,323,19
2020-02-12 19:00:00,0,1010,18,294,17
2020-02-12 20:00:00,1,1011,18,265,15
2020-02-12 21:00:00,1,1012,18,236,13
2020-02-12 22:00:00,2,1012,18,167,11
2020-02-12 23:00:00,2,1012,18,99,9
2020-02-13 00:00:00,3,1012,16,30,8
2020-02-13 01:00:00,4,1011,16,37,7
2020-02-13 02:00:00,4,1011,16,43,7
2020-02-13 03:00:00,4,1011,14,49,6
2020-02-13 04:00:00,4,1011,14,54,7
2020-02-13 05:00:00,3,1011,14,59,8
2020-02-13 06:00:00,3,1012,14,64,9
2020-02-13 07:00:00,2,1013,16,71,10
