Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-29 08:00:00,12,1016,14,76,11
2020-01-29 09:00:00,14,1017,16,90,11
2020-01-29 10:00:00,17,1017,18,114,11
2020-01-29 11:00:00,19,1017,18,139,10
2020-01-29 12:00:00,22,1017,20,164,10
2020-01-29 13:00:00,23,1016,20,200,12
2020-01-29 14:00:00,23,1015,18,237,14
2020-01-29 15:00:00,24,1014,18,274,16
2020-01-29 16:00:00,22,1014,18,289,16
2020-01-29 17:00:00,20,1014,16,305,16
2020-01-29 18:00:00,18,1014,16,320,16
2020-01-29 19:00:00,17,1015,14,293,15
2020-01-29 20:00:00,16,1015,14,266,13
2020-01-29 21:00:00,15,1016,12,239,12
2020-01-29 22:00:00,13,1016,12,168,11
2020-01-29 23:00:00,12,1016,10,96,10
2020-01-30 00:00:00,10,1016,10,24,9
2020-01-30 01:00:00,9,1015,12,27,9
2020-01-30 02:00:00,9,1015,12,29,9
2020-01-30 03:00:00,8,1015,14,32,9
2020-01-30 04:00:00,10,1015,14,37,9
2020-01-30 05:00:00,11,1015,14,42,9
2020-01-30 06:00:00,13,1015,12,47,8
2020-01-30 07:00:00,14,1016,14,59,8
