Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh),Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2017-03-18 00:00:00,1031471.62805707,1012.48,2.125,79.3333333333333,16.7643862174512,285.25,6.25375,3,1011,14,307,2
2017-03-18 01:00:00,1007205.57843707,1011.61875,0.0,82.1666666666667,15.7293862174512,285.0,9.205,4,1011,14,215,2
2017-03-18 02:00:00,986108.40071707,1010.72,2.125,81.6666666666667,15.8168862174512,316.0,11.28375,4,1011,14,123,1
2017-03-18 03:00:00,970760.96691707,1011.37625,17.125,82.25,15.9193862174512,327.0,7.16875,4,1011,14,31,1
2017-03-18 04:00:00,962258.36501707,1011.5,18.625,82.3333333333333,15.7693862174512,282.25,0.78,4,1011,14,138,1
2017-03-18 05:00:00,963847.92895707,1011.03875,21.25,80.0833333333333,15.7118862174512,162.75,0.45125,5,1012,16,245,2
2017-03-18 06:00:00,971662.22283707,1011.445,40.875,79.1666666666667,15.3743862174512,260.75,3.185,5,1012,16,352,2
2017-03-18 07:00:00,998667.46427707,1011.5,44.0,81.4166666666667,13.5043862174512,231.75,3.985,5,1013,18,320,3
2017-03-18 08:00:00,1060601.55717707,1011.86875,44.0,77.4166666666667,15.8318862174512,268.375,5.28125,5,1013,18,288,3
2017-03-18 09:00:00,1141662.50979707,1013.41,44.0,74.3333333333333,19.3693862174512,289.375,7.13375,4,1013,20,256,4
2017-03-18 10:00:00,1195234.88093707,1013.54,44.0,74.3333333333333,21.5943862174512,285.625,14.72375,4,1012,20,263,7
2017-03-18 11:00:00,1208175.00293707,1013.08625,44.0,76.25,22.3868862174512,279.375,16.63125,4,1011,20,271,10
2017-03-18 12:00:00,1216409.31893707,1013.58875,44.0,77.9166666666667,21.3918862174512,270.75,13.36375,4,1011,20,278,13
2017-03-18 13:00:00,1211771.52893707,1013.695,44.0,76.0,22.1293862174512,282.0,16.0625,5,1010,20,280,11
2017-03-18 14:00:00,1216184.22893707,1013.695,44.0,78.1666666666667,20.2318862174512,275.5,16.92375,5,1010,20,283,10
2017-03-18 15:00:00,1210429.86693707,1013.695,44.0,77.5833333333333,20.4668862174512,291.875,19.02125,5,1010,18,285,9
