"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
19.7218862174512,1014,2,98,10,2021-02-16 08:00:00
19.7218862174512,1014,2,131,10,2021-02-16 09:00:00
21.7218862174512,1014,2,197,11,2021-02-16 10:00:00
21.7218862174512,1014,2,264,12,2021-02-16 11:00:00
23.7218862174512,1013,2,331,14,2021-02-16 12:00:00
21.7218862174512,1012,2,327,18,2021-02-16 13:00:00
21.7218862174512,1011,1,322,22,2021-02-16 14:00:00
19.7218862174512,1010,1,318,26,2021-02-16 15:00:00
19.7218862174512,1010,1,323,25,2021-02-16 16:00:00
19.7218862174512,1010,0,328,25,2021-02-16 17:00:00
19.7218862174512,1010,0,333,25,2021-02-16 18:00:00
17.7218862174512,1011,0,339,22,2021-02-16 19:00:00
17.7218862174512,1011,0,345,20,2021-02-16 20:00:00
15.7218862174512,1012,0,351,18,2021-02-16 21:00:00
13.7218862174512,1012,0,352,16,2021-02-16 22:00:00
11.7218862174512,1012,0,354,15,2021-02-16 23:00:00
9.72188621745121,1012,0,355,14,2021-02-17 00:00:00
11.7218862174512,1012,0,315,14,2021-02-17 01:00:00
13.7218862174512,1012,0,275,15,2021-02-17 02:00:00
15.7218862174512,1011,0,236,15,2021-02-17 03:00:00
15.7218862174512,1011,0,165,13,2021-02-17 04:00:00
15.7218862174512,1011,0,94,12,2021-02-17 05:00:00
17.7218862174512,1012,0,24,10,2021-02-17 06:00:00
17.7218862174512,1012,0,63,9,2021-02-17 07:00:00
