"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-01-29 08:00:00,1125730.43213707,1012.525,19.5,71,7.34188621745121,30.25,2.7725
2021-01-29 09:00:00,1195753.43213707,1012.9,66.5,68.5,10.2218862174512,341,2.895
2021-01-29 10:00:00,1239187.43213707,1013.2,37.75,62.1666666666667,16.2168862174512,323,3.0875
2021-01-29 11:00:00,1258515.93213707,1013.025,51.5,61.8333333333333,19.2168862174512,203,5.7775
2021-01-29 12:00:00,1261629.93213707,1012.1,77.75,57.6666666666667,20.8418862174512,127.5,10.7225
2021-01-29 13:00:00,1247483.43213707,1011,81,62,21.3168862174512,278,16.0025
2021-01-29 14:00:00,1255069.43213707,1010.1,75.25,67.3333333333333,19.4068862174512,273.5,15.3375
2021-01-29 15:00:00,1253183.43213707,1009.6,40.25,68.3333333333333,18.8018862174512,271.25,16.8425
2021-01-29 16:00:00,1246916.93213707,1009.575,20.5,64,19.3518862174512,289.25,14.585
2021-01-29 17:00:00,1220813.43213707,1009.625,15,65.1666666666667,19.3318862174512,309,11.7275
2021-01-29 18:00:00,1194336.93213707,1010.2,1.75,72.3333333333333,15.2318862174512,287.75,17.38
2021-01-29 19:00:00,1165659.93213707,1010.875,2,72.5,13.5818862174512,318.75,11.7825
2021-01-29 20:00:00,1129619.93213707,1011.775,0,77.6666666666667,11.8918862174512,317.5,11.6975
2021-01-29 21:00:00,1095986.93213707,1012.2,0.25,77.3333333333333,11.5768862174512,310,10.085
2021-01-29 22:00:00,1063779.43213707,1012.625,2.25,77,9.96188621745121,19.25,6.1225
2021-01-29 23:00:00,1035869.93213707,1012.45,6.5,77.3333333333333,9.49188621745122,274,6.0575
2021-01-30 00:00:00,1022160.43213707,1012.325,5.25,79.3333333333333,8.12688621745122,330.75,6.825
2021-01-30 01:00:00,1005463.93213707,1011.825,4.5,72.5,9.03188621745121,11.25,3.305
2021-01-30 02:00:00,988940.43213707,1011.35,3.75,72,7.60688621745122,19.25,3.5175
2021-01-30 03:00:00,976616.93213707,1011.05,2.5,72,6.08188621745121,26.5,3.1625
2021-01-30 04:00:00,976699.43213707,1011.1,7.5,66.5,6.84188621745121,23.75,5.865
2021-01-30 05:00:00,982729.43213707,1011.225,14.25,63.6666666666667,6.88688621745121,19.25,6.8475
2021-01-30 06:00:00,992207.43213707,1011.8,33.75,69.3333333333333,5.56688621745121,26.75,3.375
2021-01-30 07:00:00,1018124.43213707,1012.55,33.5,68.6666666666667,5.60688621745121,41,2.9475
