"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
11.7218862174512,1014,6,73,7,2021-01-31 08:00:00
11.7218862174512,1015,6,103,6,2021-01-31 09:00:00
13.7218862174512,1014,6,161,8,2021-01-31 10:00:00
13.7218862174512,1014,5,219,9,2021-01-31 11:00:00
15.7218862174512,1014,5,277,10,2021-01-31 12:00:00
13.7218862174512,1013,4,285,14,2021-01-31 13:00:00
13.7218862174512,1012,3,292,17,2021-01-31 14:00:00
13.7218862174512,1011,2,299,20,2021-01-31 15:00:00
13.7218862174512,1011,1,303,19,2021-01-31 16:00:00
11.7218862174512,1011,1,308,18,2021-01-31 17:00:00
9.72188621745121,1012,0,312,18,2021-01-31 18:00:00
7.72188621745121,1012,0,316,15,2021-01-31 19:00:00
3.72188621745121,1012,0,320,13,2021-01-31 20:00:00
1.72188621745121,1013,0,325,11,2021-01-31 21:00:00
1.72188621745121,1013,0,332,10,2021-01-31 22:00:00
-0.278113782548786,1013,0,339,10,2021-01-31 23:00:00
-0.278113782548786,1013,0,347,9,2021-02-01 00:00:00
3.72188621745121,1013,0,310,10,2021-02-01 01:00:00
7.72188621745121,1012,1,272,11,2021-02-01 02:00:00
11.7218862174512,1012,1,235,12,2021-02-01 03:00:00
9.72188621745121,1012,2,163,11,2021-02-01 04:00:00
9.72188621745121,1012,2,91,11,2021-02-01 05:00:00
7.72188621745121,1013,3,20,11,2021-02-01 06:00:00
9.72188621745121,1013,3,56,11,2021-02-01 07:00:00
